$GPGGA,120715,5200.001259,N,422.454815,E,1,18,0.7,46.2,M,,M,,*49
$GPGGA,120716,5200.001259,N,422.454815,E,1,16,0.8,46.2,M,,M,,*4B
$GPGGA,120753,5200.001249,N,422.445748,E,1,21,0.6,46.9,M,,M,,*4D
$GPGGA,120754,5200.001249,N,422.445748,E,1,22,0.6,46.9,M,,M,,*49
$GPGGA,120755,5200.001249,N,422.445748,E,1,21,0.6,46.9,M,,M,,*4B
$GPGGA,120756,5200.001249,N,422.445748,E,1,22,0.6,46.9,M,,M,,*4B
$GPGGA,120757,5200.001249,N,422.445748,E,1,20,0.7,46.9,M,,M,,*49
$GPGGA,120758,5200.001249,N,422.445748,E,1,20,0.6,46.9,M,,M,,*47
$GPGGA,120759,5200.001419,N,422.444692,E,1,21,0.6,47.3,M,,M,,*48
$GPGGA,120800,5200.001412,N,422.444536,E,1,18,0.7,47.6,M,,M,,*43
$GPGGA,120801,5200.001412,N,422.444536,E,1,13,0.9,47.6,M,,M,,*47
$GPGGA,120802,5200.001412,N,422.444536,E,1,18,0.7,47.6,M,,M,,*41
$GPGGA,120803,5200.001412,N,422.444536,E,1,17,0.7,47.6,M,,M,,*4F
$GPGGA,120804,5200.001412,N,422.444536,E,1,20,0.7,47.6,M,,M,,*4C
$GPGGA,120805,5200.001412,N,422.444536,E,1,20,0.7,47.6,M,,M,,*4D
$GPGGA,120806,5200.001412,N,422.444536,E,1,19,0.7,47.6,M,,M,,*44
$GPGGA,120807,5200.001412,N,422.444536,E,1,20,0.7,47.6,M,,M,,*4F
$GPGGA,120808,5200.001412,N,422.444536,E,1,20,0.7,47.6,M,,M,,*40
$GPGGA,120809,5200.001412,N,422.444536,E,1,18,0.7,47.6,M,,M,,*4A
$GPGGA,120810,5200.001412,N,422.444536,E,1,21,0.7,47.6,M,,M,,*48
$GPGGA,120811,5200.001412,N,422.444536,E,1,19,0.7,47.6,M,,M,,*42
$GPGGA,120812,5200.001412,N,422.444536,E,1,21,0.6,47.6,M,,M,,*4B
$GPGGA,120813,5200.001412,N,422.444536,E,1,22,0.7,47.6,M,,M,,*48
$GPGGA,120814,5200.001412,N,422.444536,E,1,20,0.7,47.6,M,,M,,*4D
$GPGGA,120815,5200.001412,N,422.444536,E,1,20,0.7,47.6,M,,M,,*4C
$GPGGA,120816,5200.001412,N,422.444536,E,1,19,0.7,47.6,M,,M,,*45
